id,feature_type,created_at,updated_at,name,description,state_name,releases,parent_id,parent_name,owner_name,tags,start_date,end_date,Realizadores ativos de assinatura,ZhipChat (sample),Effort,Prioritization  score,Melhorar gerenciamento de campanha de Assinaturas priority,Melhorar gerenciamento de campanha de Assinaturas value,Alcançar Product Market Fit em Assinaturas priority,Alcançar Product Market Fit em Assinaturas value,Reduzir Churn de Receita Mensal para < 2% priority,Reduzir Churn de Receita Mensal para < 2% value,Aumentar engajamento e satisfação de realizadores de assinatura priority,Aumentar engajamento e satisfação de realizadores de assinatura value,"Recompensas (apoio, gestão e entrega) priority","Recompensas (apoio, gestão e entrega) value"
807811,product,2018-03-07 05:20:27 UTC,2018-05-17 09:12:27 UTC,Catarse,"",Icebox,,,,Thiago Maia,"",,,,,,,,,,,,,,,,
807812,component,2018-03-07 05:20:53 UTC,2019-06-26 07:56:29 UTC,Gerenciar um projeto,"",Icebox,,807811,Catarse,Thiago Maia,"",,,,,,,,,,,,,,,,
807813,component,2018-03-07 05:21:16 UTC,2019-06-26 12:06:48 UTC,Comunicar com apoiadores,"",Icebox,,807811,Catarse,Thiago Maia,"",,,,,,,,,,,,,,,,
807814,component,2018-03-07 05:21:25 UTC,2019-06-26 12:06:48 UTC,Ter um perfil no Catarse,"",Icebox,,807811,Catarse,Thiago Maia,"",,,,,,,,,,,,,,,,
808141,feature,2018-03-07 08:05:16 UTC,2021-08-05 07:46:27 UTC,Ter débito automático como forma de pagamento no Assinaturas,"",Icebox,,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,,,100,,1,20,,,,,2,60,,
808149,feature,2018-03-07 08:09:26 UTC,2021-08-05 07:45:15 UTC,Receber dinheiro em minha conta em menos do que 10 dias úteis,"",Icebox,,8924893,Receber o dinheiro de minha campanha de assinaturas,Thiago Maia,"",,,,,100,1,2,100,2,100,,,3,100,,
808150,feature,2018-03-07 08:09:57 UTC,2021-08-05 07:45:15 UTC,Receber dinheiro em minha conta automaticamente todo mês em um dia fixo,"",Icebox,,8924893,Receber o dinheiro de minha campanha de assinaturas,Thiago Maia,"",,,,,13,3,1,20,,,,,2,80,,
808153,feature,2018-03-07 08:12:08 UTC,2019-06-26 07:49:25 UTC,Buscar por assinantes na Base de Assinantes (campo de busca),"",Done,,807813,Comunicar com apoiadores,Thiago Maia,"",,,should have,,,,,,2,60,,,,,,
808170,feature,2018-03-07 08:25:15 UTC,2019-06-26 07:49:05 UTC,Enviar mensagem customizada automática para novos assinantes,"Como realizador de Assinaturas, para que meus novos assinantes recebam uma mensagem customizada, quero ter em meu dashboard de projeto uma área onde eu possa customizar mensagens para cada faixa de recompensa de meu projeto.",Done,,807813,Comunicar com apoiadores,Thiago Maia,"",,,should have,,5,2,,,2,100,,,,,,
808178,component,2018-03-07 08:42:43 UTC,2019-06-26 07:59:42 UTC,Receber dinheiro em minha conta bancária,"",Icebox,,807812,Gerenciar um projeto,Thiago Maia,"",,,,,,,,,,,,,,,,
